Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Depth,Magnitude,Sigma
1900,9,15,12,35,49,-8.9699,26.0736,40.34,6.40,1.00
1901,9,3,9,7,50,-0.2602,21.0030,29.73,6.22,1.00
1902,8,14,12,50,6,-15.7146,29.8290,32.82,6.12,1.00
1903,5,31,10,58,25,-2.6635,23.4537,30.60,6.23,1.00
1905,5,19,1,9,57,-16.9796,27.2313,48.98,7.44,1.00
1906,8,8,15,51,21,-3.8328,23.5463,5.85,6.17,1.00
1907,1,19,19,0,15,-14.7126,25.4319,23.62,6.62,1.00
1907,2,8,20,56,47,-14.1615,27.2923,14.58,6.43,1.00
1907,2,15,16,35,30,-15.1973,25.2132,19.00,7.20,1.00
1908,4,16,5,37,41,-4.1922,20.4359,27.64,6.00,1.00
1908,4,21,9,36,30,-10.4568,23.3296,18.58,6.01,1.00
1909,3,21,11,14,17,-16.6193,25.9768,1.61,7.23,1.00
1909,5,7,4,27,45,-19.4988,21.6934,31.19,6.27,1.00
1910,3,28,12,51,51,-1.1016,22.2228,17.03,6.01,1.00
1911,1,28,20,7,49,-17.9738,29.0319,12.22,7.15,1.00
1911,12,20,5,52,36,-7.4824,20.4544,7.58,6.15,1.00
1911,12,24,9,14,20,-4.6041,22.3102,22.37,6.23,1.00
1912,12,13,16,18,37,-14.6718,22.7835,41.48,6.01,1.00
1913,9,11,12,43,10,-3.1125,25.4348,40.78,6.45,1.00
1913,10,6,18,52,58,-15.5175,20.1007,37.77,6.22,1.00
1913,10,17,18,33,56,-12.1656,22.1467,31.73,6.30,1.00
1914,2,17,11,51,51,-19.4049,28.8377,26.14,6.79,1.00
1914,4,22,5,43,43,-11.8842,25.8129,16.49,6.75,1.00
1914,6,8,19,55,16,-18.9888,20.9360,45.20,6.27,1.00
1915,3,8,15,20,30,-13.3071,23.1746,46.48,6.45,1.00
1915,9,16,5,24,29,-11.1714,24.2356,38.00,6.35,1.00
1915,12,5,5,45,35,-15.4503,25.2542,24.98,6.16,1.00
1916,8,30,12,19,44,-15.7458,27.3028,21.83,7.18,1.00
1917,12,21,11,3,40,-12.5378,26.9194,43.57,6.06,1.00
1920,7,2,22,53,8,-3.2128,20.9425,30.44,6.46,1.00
1920,9,4,14,35,9,-12.2783,20.0975,0.55,6.08,1.00
1920,12,11,3,27,13,-8.4149,24.6074,18.93,6.34,1.00
1922,7,1,13,43,45,-17.8446,27.4366,0.37,6.01,1.00
1923,1,30,7,51,55,-4.9546,21.0770,46.24,6.01,1.00
1923,2,16,13,55,28,-4.2217,23.7173,26.24,6.52,1.00
1924,5,4,1,40,27,-8.6263,23.8423,44.07,6.04,1.00
1924,5,14,0,31,13,-2.5712,24.1103,31.49,6.65,1.00
1924,5,19,12,0,12,-13.0720,25.6849,45.93,6.84,1.00
1924,10,17,1,35,36,-9.5822,21.6447,18.16,6.07,1.00
1925,2,17,1,58,22,-4.3476,22.7655,6.33,6.01,1.00
1925,3,12,9,6,31,-3.6528,23.9829,42.76,6.01,1.00
1925,9,5,5,56,30,-14.6433,20.9210,4.21,6.02,1.00
1927,1,11,15,51,12,-17.6861,28.6541,0.22,6.26,1.00
1928,2,2,16,11,53,-13.3143,27.7650,2.27,6.04,1.00
1928,10,6,4,2,6,-9.5145,20.8292,1.74,6.59,1.00
1928,10,7,5,58,26,-19.6340,24.1499,34.01,6.14,1.00
1929,8,26,8,18,46,-12.2235,29.6131,4.34,6.27,1.00
1929,10,30,21,1,39,-11.1077,27.0966,34.30,7.11,1.00
1930,9,17,8,8,0,-1.1348,23.2386,39.64,6.12,1.00
1931,4,12,15,59,52,-3.7384,23.9935,13.74,6.43,1.00
1931,10,4,23,27,21,-12.8716,29.3330,29.82,6.09,1.00
1932,8,5,23,8,47,-13.8206,21.7775,37.58,6.17,1.00
1933,7,5,0,23,43,-6.1226,20.6392,20.61,6.38,1.00
1933,8,16,16,10,44,-2.3710,22.8595,39.67,6.08,1.00
1934,9,24,1,25,2,-15.5049,29.8402,29.57,6.23,1.00
1935,2,23,11,26,39,-10.3670,23.9436,18.72,5.66,1.00
1935,6,3,8,20,39,-15.7022,29.9540,37.10,5.53,1.00
1935,6,14,11,40,50,-16.3996,25.1837,18.96,5.66,1.00
1935,10,7,19,3,51,-9.5742,21.7415,37.75,5.61,1.00
1935,10,10,6,48,54,-5.9733,24.5531,35.68,6.29,1.00
1935,10,22,18,48,42,-7.0227,21.3688,32.77,5.63,1.00
1936,4,18,7,1,59,-19.3980,23.4835,45.03,5.54,1.00
1936,5,14,14,13,22,-8.6735,25.0057,38.37,6.70,1.00
